setting initial condition
minimizing
NVT equilibration
start simulation
  0%|          | 0/5000 [00:00<?, ?it/s]#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
  2%|▏         | 95/5000 [00:07<05:38, 14.50it/s]6.9%	34500	-35049.853868889215	297.38093509590107	1.0483726140896008	235	5:42
6.9%	34600	-35202.464244451636	303.0648976452216	1.0574704533011348	235	5:41
  2%|▏         | 97/5000 [00:07<05:29, 14.89it/s]6.9%	34700	-35211.323619451636	297.7785081075782	1.0574704533011348	235	5:42
7.0%	34800	-35134.26817102375	303.2200975118763	1.0549035144416963	234	5:42
  2%|▏         | 99/5000 [00:07<06:00, 13.59it/s]7.0%	34900	-34905.8199102091	299.369665582591	1.0522236567419834	235	5:42
7.0%	35000	-34914.178530448175	301.9056477671699	1.0503625382655206	234	5:42
  2%|▏         | 101/5000 [00:07<06:01, 13.57it/s]7.0%	35100	-35085.30743886894	306.4121347245023	1.0459957300397724	235	5:42
7.0%	35200	-34868.71984624246	302.62311839537	1.047741417195543	235	5:41
  2%|▏         | 103/5000 [00:07<05:45, 14.19it/s]7.1%	35300	-34996.17234027924	289.0073057025383	1.050821951863181	235	5:41
7.1%	35400	-35228.63588006422	300.802499947746	1.0509395557394081	235	5:41
  2%|▏         | 105/5000 [00:07<05:45, 14.16it/s]7.1%	35500	-35199.36901055215	300.161530476566	1.050925502694387	236	5:40
7.1%	35600	-34852.50660703512	287.20960239108973	1.0544200583714594	236	5:40
  2%|▏         | 107/5000 [00:07<05:31, 14.74it/s]7.1%	35700	-34963.43318523397	301.8835557440373	1.054032072732946	236	5:39
7.2%	35800	-34696.90013127765	302.11948561992256	1.058599082282762	237	5:38
  2%|▏         | 109/5000 [00:08<05:24, 15.07it/s]7.2%	35900	-34642.35325627765	308.7357682102331	1.058599082282762	236	5:39
7.2%	36000	-34647.95481877765	297.1445095329908	1.058599082282762	236	5:39
  2%|▏         | 111/5000 [00:08<05:38, 14.43it/s]7.2%	36100	-35036.98835538016	305.1856181368857	1.0589777779982363	237	5:38
7.2%	36200	-34818.62116788016	291.0836369315472	1.0589777779982363	236	5:39
  2%|▏         | 113/5000 [00:08<05:52, 13.85it/s]7.3%	36300	-34965.93213609906	298.95305201021375	1.057813636146366	236	5:39
7.3%	36400	-34706.52046882865	291.07663151007006	1.0545765859094023	236	5:39
  2%|▏         | 115/5000 [00:08<05:52, 13.86it/s]7.3%	36500	-35147.39230763179	303.6697539074754	1.0533058258319956	236	5:38
7.3%	36600	-35001.79693977267	290.25048103670156	1.0458771741193382	237	5:38
  2%|▏         | 117/5000 [00:08<05:37, 14.47it/s]7.3%	36700	-35058.98443977267	300.2774989813198	1.0458771741193382	237	5:37
7.4%	36800	-34787.35943977267	296.3954345810776	1.0458771741193382	237	5:38
  2%|▏         | 119/5000 [00:08<05:44, 14.16it/s]7.4%	36900	-34664.8236291057	298.44546448499017	1.0514716809779705	237	5:37
7.4%	37000	-34750.41751568997	297.0218259298593	1.0488266579932164	237	5:37
  2%|▏         | 121/5000 [00:08<05:31, 14.70it/s]7.4%	37100	-34530.42691625559	298.87465242252864	1.0446983048190828	238	5:36
7.4%	37200	-34655.83883664102	296.66795521956885	1.0404396115626782	238	5:36
  2%|▏         | 123/5000 [00:09<05:22, 15.13it/s]7.5%	37300	-34844.988525846275	302.39680670988747	1.0420416850107457	238	5:35
7.5%	37400	-34727.20002744472	306.1097425547695	1.0481351549974192	239	5:35
  2%|▎         | 125/5000 [00:09<05:14, 15.48it/s]7.5%	37500	-34997.00281290931	292.37419727381734	1.048025458347604	238	5:36
7.5%	37600	-35011.80228514824	298.832707019124	1.038527151335916	238	5:35
  3%|▎         | 127/5000 [00:09<05:38, 14.41it/s]7.5%	37700	-35084.1842630053	302.253415797672	1.0463692035819636	237	5:36
7.6%	37800	-35263.668426601565	297.4037381883861	1.042838062680924	238	5:36
  3%|▎         | 129/5000 [00:09<05:55, 13.70it/s]7.6%	37900	-35126.8693119183	300.0566031878654	1.0361081400683376	238	5:35
7.6%	38000	-34929.84004680079	299.89145906635775	1.0399239636421804	238	5:36
  3%|▎         | 131/5000 [00:09<05:57, 13.63it/s]7.6%	38100	-34663.60515452549	301.88902142311827	1.0424764690157633	238	5:35
7.6%	38200	-34685.140463974065	301.85306300149915	1.0360823328045723	238	5:35
  3%|▎         | 133/5000 [00:09<05:44, 14.13it/s]7.7%	38300	-34456.60407796866	299.71310091647206	1.038935558795685	238	5:34
7.7%	38400	-34951.877901797736	296.17815331358435	1.0365580124619729	238	5:34
  3%|▎         | 135/5000 [00:09<05:32, 14.64it/s]7.7%	38500	-34759.377901797736	296.678305902568	1.0365580124619729	239	5:34
7.7%	38600	-34632.77437538057	310.72377209044504	1.031772018353608	239	5:33
  3%|▎         | 137/5000 [00:10<05:23, 15.01it/s]7.7%	38700	-34586.491893358034	294.3836651258222	1.0366101427159942	239	5:33
7.8%	38800	-34987.77616732608	298.3190671302699	1.041760982304421	238	5:34
  3%|▎         | 139/5000 [00:10<05:54, 13.71it/s]7.8%	38900	-34716.40116732608	292.8377063604737	1.041760982304421	238	5:34
7.8%	39000	-35043.08542909153	303.70788093567137	1.0359019724704865	238	5:34
  3%|▎         | 141/5000 [00:10<05:54, 13.69it/s]7.8%	39100	-35124.7433813689	277.4793081896053	1.0419200759439542	238	5:34
7.8%	39200	-34705.46417695939	303.7531414719604	1.0373557949300483	237	5:35
  3%|▎         | 143/5000 [00:10<06:21, 12.72it/s]7.9%	39300	-34688.06945014553	312.29885180616577	1.0391620729060187	238	5:35
7.9%	39400	-34842.01237066189	291.68466503475935	1.0438988801307914	238	5:34
  3%|▎         | 145/5000 [00:10<06:00, 13.49it/s]7.9%	39500	-35060.067618671164	295.097228314256	1.0442580847807108	238	5:34
7.9%	39600	-35071.54747080125	291.2598697700805	1.0511763010920805	238	5:34
  3%|▎         | 147/5000 [00:10<05:44, 14.10it/s]7.9%	39700	-35238.60997080125	291.23661409918833	1.0511763010920805	238	5:33
8.0%	39800	-35013.66465830125	290.04789890412786	1.0511763010920805	239	5:33
  3%|▎         | 149/5000 [00:10<05:32, 14.57it/s]8.0%	39900	-35099.1568255451	297.5012975941555	1.04702978672934	239	5:32
8.0%	40000	-35146.1333880451	306.5874158746781	1.04702978672934	239	5:32
  3%|▎         | 151/5000 [00:11<05:24, 14.94it/s]8.0%	40100	-35047.58947533686	294.9369660476033	1.051915273338871	239	5:32
8.0%	40200	-35013.99337767009	288.6355998758803	1.046330976336448	238	5:33
  3%|▎         | 153/5000 [00:11<05:49, 13.87it/s]8.1%	40300	-34858.19836305993	296.53774004787357	1.0474106099990372	239	5:32
8.1%	40400	-35006.74523805993	292.6287499671429	1.0474106099990372	239	5:32
  3%|▎         | 155/5000 [00:11<05:35, 14.45it/s]8.1%	40500	-35096.51758406448	304.88087134573345	1.0492508805264658	239	5:32
8.1%	40600	-34790.99414656448	307.34300808267767	1.0492508805264658	239	5:31
  3%|▎         | 157/5000 [00:11<05:25, 14.87it/s]8.1%	40700	-35080.27814885002	303.26170318861506	1.0560748102933912	239	5:32
8.2%	40800	-34939.255362549186	291.10473567354273	1.0545824433078241	239	5:31
  3%|▎         | 159/5000 [00:11<05:36, 14.40it/s]8.2%	40900	-35236.763175049186	300.9320452028274	1.0545824433078241	239	5:32
8.2%	41000	-35231.85952719205	307.19444637817924	1.0505537599491772	238	5:32
  3%|▎         | 161/5000 [00:11<06:15, 12.90it/s]8.2%	41100	-34896.96127348379	299.24169316273026	1.0465859873842343	238	5:32
8.2%	41200	-35159.23749702456	303.6700488287578	1.0510283895491985	239	5:32
  3%|▎         | 163/5000 [00:11<05:53, 13.67it/s]8.3%	41300	-35321.23749702456	303.36548686333657	1.0510283895491985	238	5:32
8.3%	41400	-35172.72280333366	299.4002406109928	1.0485687782934556	239	5:32
  3%|▎         | 165/5000 [00:12<05:55, 13.60it/s]8.3%	41500	-34992.86719957611	292.4509700604975	1.0477291747763353	238	5:33
8.3%	41600	-35031.08763537125	300.2054088625624	1.0405142656534296	238	5:32
  3%|▎         | 167/5000 [00:12<06:09, 13.08it/s]8.3%	41700	-34904.14558733901	300.59199048749065	1.0489319181652756	238	5:32
8.4%	41800	-34971.084324556956	302.1150819628279	1.0434763205674944	238	5:32
  3%|▎         | 169/5000 [00:12<06:05, 13.23it/s]8.4%	41900	-34705.218300135195	296.91732554057813	1.0442834236495027	238	5:32
8.4%	42000	-35197.999550135195	305.03421791685616	1.0442834236495027	238	5:31
  3%|▎         | 171/5000 [00:12<05:45, 13.98it/s]8.4%	42100	-34997.349083520676	292.8984936905547	1.0378205353110923	239	5:31
8.4%	42200	-34746.411583520676	302.36526932873875	1.0378205353110923	239	5:31
  3%|▎         | 173/5000 [00:12<05:30, 14.59it/s]8.5%	42300	-34772.966730407905	301.09821733729717	1.0363260023828182	239	5:30
8.5%	42400	-34858.75718204063	302.99056547559263	1.0411055060184957	239	5:30
  4%|▎         | 175/5000 [00:12<05:22, 14.98it/s]8.5%	42500	-34999.52698726437	299.85971731869165	1.0412409279982564	239	5:30
8.5%	42600	-35096.16980825184	302.1366044535665	1.0433829773515753	240	5:29
  4%|▎         | 177/5000 [00:12<05:14, 15.34it/s]8.5%	42700	-34737.31794392518	301.22782120123	1.0438206633370817	240	5:29
8.6%	42800	-34850.81214473813	303.7718071954201	1.044813804966177	239	5:29
  4%|▎         | 179/5000 [00:13<05:32, 14.48it/s]8.6%	42900	-34875.59884041987	296.4039522314991	1.0464632368466502	240	5:29
8.6%	43000	-34941.94904432041	293.0434647789978	1.0433602360135648	240	5:29
  4%|▎         | 181/5000 [00:13<05:22, 14.96it/s]8.6%	43100	-34963.22248182041	300.229485048721	1.0433602360135648	240	5:28
8.6%	43200	-34739.26154432041	306.83739046333255	1.0433602360135648	240	5:28
  4%|▎         | 183/5000 [00:13<05:14, 15.31it/s]8.7%	43300	-34764.94904432041	299.3511343684763	1.0433602360135648	240	5:28
8.7%	43400	-34724.65872868511	298.19184820154413	1.0427285536925521	241	5:27
  4%|▎         | 185/5000 [00:13<05:09, 15.57it/s]8.7%	43500	-34666.12747868511	302.8283182522407	1.0427285536925521	241	5:27
8.7%	43600	-34712.651584060484	302.9353110770374	1.0482938824702799	241	5:27
  4%|▎         | 187/5000 [00:13<05:05, 15.74it/s]8.7%	43700	-34656.643771560484	299.69819063417566	1.0482938824702799	241	5:27
8.8%	43800	-34683.79666138586	301.00944698014507	1.0501967538886914	241	5:27
  4%|▍         | 189/5000 [00:13<05:20, 15.03it/s]8.8%	43900	-34916.18567528276	302.88572195156394	1.0500021236067696	241	5:27
8.8%	44000	-34715.3340277604	295.5383722231992	1.045060908314485	241	5:27
  4%|▍         | 191/5000 [00:13<05:33, 14.41it/s]8.8%	44100	-35112.354719213705	300.85117690916474	1.046617839100057	241	5:27
8.8%	44200	-34821.91604821553	296.5118426777453	1.0506626829613779	241	5:26
  4%|▍         | 193/5000 [00:13<05:22, 14.92it/s]8.9%	44300	-34752.48636071553	293.6466437230514	1.0506626829613779	241	5:27
8.9%	44400	-34809.794911387784	307.23819529919786	1.0519413697534266	241	5:26
  4%|▍         | 195/5000 [00:14<05:36, 14.27it/s]8.9%	44500	-34900.93069000484	297.4533754974886	1.0465052949044842	241	5:26
8.9%	44600	-35065.038019347965	300.9478832473184	1.051510669384632	241	5:26
  4%|▍         | 197/5000 [00:14<05:26, 14.73it/s]8.9%	44700	-34883.686456847965	299.91264084431555	1.051510669384632	241	5:26
9.0%	44800	-34965.49967526927	297.17535238969106	1.0487839976676792	241	5:26
  4%|▍         | 199/5000 [00:14<05:35, 14.31it/s]9.0%	44900	-34910.08561276927	299.6132609938647	1.0487839976676792	241	5:26
9.0%	45000	-35002.631277275796	288.81193501366795	1.0468295142108588	241	5:26
  4%|▍         | 201/5000 [00:14<05:34, 14.35it/s]9.0%	45100	-35064.50056693808	305.86281952243877	1.0486176287161069	241	5:25
9.0%	45200	-34866.848773692065	295.9360989729238	1.0418751035096867	241	5:25
  4%|▍         | 203/5000 [00:14<05:25, 14.73it/s]9.1%	45300	-34712.83509753723	309.2609385413381	1.0425146417948097	242	5:25
9.1%	45400	-34972.0649386821	302.4229577711659	1.044051384625999	242	5:24
  4%|▍         | 205/5000 [00:14<05:17, 15.11it/s]9.1%	45500	-35167.571655096195	298.27751499001755	1.0470384482793884	242	5:24
9.1%	45600	-35395.48365098238	303.0557918836229	1.0513378353679832	242	5:25
  4%|▍         | 207/5000 [00:14<05:33, 14.38it/s]9.1%	45700	-35042.45043505661	305.1970458024776	1.0532564506609785	242	5:24
9.2%	45800	-34913.01293505661	299.770297875918	1.0532564506609785	242	5:24
  4%|▍         | 209/5000 [00:15<05:22, 14.87it/s]9.2%	45900	-35121.00348505168	290.6174033621767	1.0531497410925215	242	5:24
9.2%	46000	-34974.029885213706	297.67016097648667	1.052036350546019	242	5:23
  4%|▍         | 211/5000 [00:15<05:15, 15.17it/s]9.2%	46100	-34968.02247483708	299.21153360713856	1.0471888549522657	242	5:24
9.2%	46200	-34892.61222272582	295.8857066213087	1.046437912318717	242	5:24
  4%|▍         | 213/5000 [00:15<05:35, 14.28it/s]9.3%	46300	-35093.716457869625	298.74781518331713	1.0511436905334632	242	5:24
9.3%	46400	-35244.88071521389	305.26829670992055	1.0538806748562672	242	5:24
  4%|▍         | 215/5000 [00:15<05:41, 14.02it/s]9.3%	46500	-34813.95884021389	293.73835135733464	1.0538806748562672	242	5:23
9.3%	46600	-34965.486081909155	302.95688389409764	1.049248033185436	242	5:23
  4%|▍         | 217/5000 [00:15<05:27, 14.62it/s]9.3%	46700	-34993.09762880954	286.53152603665444	1.0521837801357925	242	5:23
9.4%	46800	-34943.19919130954	300.1340986791429	1.0521837801357925	242	5:23
  4%|▍         | 219/5000 [00:15<05:39, 14.07it/s]9.4%	46900	-34743.63669130954	304.0309208245087	1.0521837801357925	241	5:24
9.4%	47000	-34934.41473861114	294.4276282077731	1.0507361137363977	241	5:24
  4%|▍         | 221/5000 [00:15<06:15, 12.71it/s]9.4%	47100	-35013.10022605414	291.66944574763653	1.045861351543108	241	5:24
9.4%	47200	-35123.59478492703	295.7343854269111	1.041741843483866	241	5:24
  4%|▍         | 223/5000 [00:16<06:09, 12.93it/s]9.5%	47300	-34986.98201401683	295.6151323677966	1.0442618432779436	241	5:24
9.5%	47400	-34962.869913430244	293.7979510245133	1.043878190548963	241	5:24
  4%|▍         | 225/5000 [00:16<06:00, 13.25it/s]9.5%	47500	-35125.307413430244	292.25311611796354	1.043878190548963	241	5:24
9.5%	47600	-34956.30707513666	295.72970047348105	1.0437861516908282	241	5:23
  5%|▍         | 227/5000 [00:16<05:41, 14.00it/s]9.5%	47700	-34744.81320985686	304.36734530756615	1.0464137714770225	242	5:23
9.6%	47800	-34772.034648694535	301.30907601889544	1.0550895804968992	241	5:23
  5%|▍         | 229/5000 [00:16<05:45, 13.82it/s]9.6%	47900	-34974.870515768096	294.5722566382137	1.0576471316932943	241	5:23
9.6%	48000	-35091.071773776464	290.64967397480183	1.0560381104239842	242	5:23
  5%|▍         | 231/5000 [00:16<05:29, 14.46it/s]9.6%	48100	-34904.75306088079	294.57695278064136	1.0530567325064712	242	5:23
9.6%	48200	-35214.17770841994	303.96279595554296	1.0599691098208401	242	5:22
  5%|▍         | 233/5000 [00:16<05:19, 14.94it/s]9.7%	48300	-35137.03989887325	305.78464306149783	1.0650293760148417	241	5:23
9.7%	48400	-35078.19614887325	299.23102523040205	1.0650293760148417	241	5:23
  5%|▍         | 235/5000 [00:16<05:57, 13.32it/s]9.7%	48500	-34945.13670000716	299.32978925916103	1.0658577990441978	241	5:23
9.7%	48600	-34846.87223771642	290.44802319848	1.0680763994508098	241	5:23
  5%|▍         | 237/5000 [00:17<05:56, 13.35it/s]9.7%	48700	-35068.06556018203	318.26219970512943	1.0598495755417825	241	5:23
9.8%	48800	-34936.69056018203	303.512927539863	1.0598495755417825	241	5:22
  5%|▍         | 239/5000 [00:17<05:37, 14.09it/s]9.8%	48900	-35021.249132181285	308.59272688243317	1.0570704363717334	242	5:22
9.8%	49000	-34811.678819681285	312.71102010394	1.0570704363717334	242	5:22
  5%|▍         | 241/5000 [00:17<05:25, 14.64it/s]9.8%	49100	-35047.2783831218	301.3384130073462	1.06463468348267	242	5:22
9.8%	49200	-34971.641693599726	300.61267345361784	1.065120217162358	242	5:22
  5%|▍         | 243/5000 [00:17<05:36, 14.16it/s]9.9%	49300	-34950.532318599726	302.7036932959638	1.065120217162358	242	5:22
9.9%	49400	-35205.649157621636	297.27761707146874	1.061411090729309	242	5:21
  5%|▍         | 245/5000 [00:17<05:22, 14.76it/s]9.9%	49500	-35225.805407621636	294.02782215625047	1.061411090729309	242	5:21
9.9%	49600	-34913.282749021455	303.9368112994884	1.0594790715252924	242	5:22
  5%|▍         | 247/5000 [00:17<05:36, 14.12it/s]9.9%	49700	-34999.657749021455	299.2602064226078	1.0594790715252924	242	5:21
10.0%	49800	-34816.30641612422	308.4522021985422	1.0641572628916738	242	5:21
  5%|▍         | 249/5000 [00:17<05:25, 14.60it/s]10.0%	49900	-34759.29472070426	299.4689323412808	1.0535271557301407	242	5:21
